gene,CRISPRn phenotype
A1BG ,-0.131788257
A1CF ,-0.145223631
A2M ,-0.017400443
A2ML1 ,0.201235876
A3GALT2 ,0.051246974
A4GALT ,0.007219733
A4GNT ,-0.071953098
AAAS ,-0.091713162
AACS ,0.073184708
AADAC ,0.082114399
AADACL2 ,0.042399314
AADACL3 ,0.112295152
AADACL4 ,-0.036258098
AADAT ,-0.053741428
AAGAB ,-0.001074311
AAK1 ,-0.058101831
AAMDC ,-0.017401452
AAMP ,-0.424158755
AANAT ,-0.077109682
AAR2 ,-0.216320419
AARD ,-0.131278656
AARS1 ,-2.109575385
AARS2 ,-0.932080469
AARSD1 ,-0.256446164
AASDH ,0.136464952
AASDHPPT ,-0.14379828
AASS ,0.084098633
AATF ,-0.718201737
AATK ,0.077381764
ABAT ,0.014862229
ABCA1 ,0.08385088
ABCA10 ,-0.029728082
ABCA12 ,0.000501506
ABCA13 ,-0.02528862
ABCA2 ,0.024893315
ABCA3 ,0.011684481
ABCA4 ,-0.182762631
ABCA5 ,-0.037371689
ABCA6 ,-0.127959169
ABCA7 ,0.140579236
ABCA8 ,0.215220864
ABCA9 ,0.070674929
ABCB1 ,-0.317097562
ABCB10 ,0.095805911
ABCB11 ,-0.150573689
ABCB4 ,-0.215530984
ABCB5 ,-0.062548729
ABCB6 ,0.151705667
ABCB7 ,-0.903959133
ABCB8 ,-0.090443468
ABCB9 ,0.080923734
ABCC1 ,-0.130365616
ABCC10 ,-0.225723235
ABCC11 ,-0.049484527
ABCC12 ,0.105105291
ABCC2 ,0.016226577
ABCC3 ,-0.020562605
ABCC4 ,-0.012554581
ABCC5 ,-0.02479209
ABCC6 ,-0.182387145
ABCC8 ,-0.08915831
ABCC9 ,-0.104583961
ABCD1 ,0.086157769
ABCD2 ,-0.066362007
ABCD3 ,0.210864116
ABCD4 ,-0.063445161
ABCE1 ,-2.225108086
ABCF1 ,-1.356034162
ABCF2 ,-0.121273725
ABCF3 ,0.094251189
ABCG1 ,0.057107017
ABCG2 ,0.117489374
ABCG4 ,0.094403974
ABCG5 ,-0.055314942
ABCG8 ,0.045039512
ABHD1 ,-0.114731781
ABHD10 ,0.046641639
ABHD11 ,-0.079656285
ABHD12 ,0.090131846
ABHD12B ,-0.011603711
ABHD13 ,-0.148537481
ABHD14A ,0.049115049
ABHD14B ,0.235007822
ABHD15 ,0.021382227
ABHD16A ,0.013405008
ABHD16B ,-0.042115748
ABHD17A ,-0.957710523
ABHD17B ,0.109388737
ABHD17C ,0.171990737
ABHD18 ,0.404600393
ABHD2 ,-0.082650463
ABHD3 ,-0.163702139
ABHD4 ,0.137439601
ABHD5 ,0.032531972
ABHD6 ,0.083362466
ABHD8 ,-0.006313563
ABI1 ,0.053975945
ABI2 ,0.019776232
ABI3 ,-0.058684961
ABI3BP ,0.074815346
ABITRAM ,0.026315801
ABL1 ,-0.934067394
ABL2 ,-0.006995439
ABLIM1 ,0.055957972
ABLIM2 ,-0.015887309
ABLIM3 ,-0.059194174
ABR ,-0.121599097
ABRA ,-0.296485157
ABRACL ,0.038006653
ABRAXAS1 ,-0.257673389
ABRAXAS2 ,0.118257609
ABT1 ,-0.260419572
ABTB1 ,0.075427074
ABTB2 ,0.037800962
ACAA1 ,-0.045601688
ACAA2 ,0.036016081
ACACA ,-0.045816662
ACACB ,0.017007017
ACAD10 ,-0.101411037
ACAD11 ,-0.041177308
ACAD8 ,0.106482822
ACAD9 ,-0.213469392
ACADL ,0.186499208
ACADM ,0.155255821
ACADS ,-0.188875413
ACADSB ,0.096757345
ACADVL ,0.038551054
ACAN ,0.03297633
ACAP1 ,0.001351571
ACAP2 ,-0.032287348
ACAP3 ,-0.339612613
ACAT1 ,0.070966338
ACAT2 ,0.088571868
ACBD3 ,0.090832864
ACBD4 ,-0.218536742
ACBD5 ,0.220809501
ACBD6 ,0.018511037
ACBD7 ,0.031056164
ACCS ,0.144881232
ACCSL ,-0.104461945
ACD ,-0.301501269
ACE ,-0.149096597
ACE2 ,0.2120427
ACER1 ,-0.028243152
ACER2 ,0.020047338
ACER3 ,-0.076649477
ACHE ,-0.240493726
ACIN1 ,-0.603030588
ACKR1 ,0.024207116
ACKR2 ,0.016529559
ACKR3 ,0.147907613
ACKR4 ,-0.291804293
ACLY ,-0.315743818
ACMSD ,0.056925151
ACO1 ,-0.063539361
ACO2 ,-0.39070068
ACOD1 ,0.016729529
ACOT1 ,0.30108627
ACOT11 ,0.02939692
ACOT12 ,-0.079882933
ACOT13 ,0.263878398
ACOT2 ,-0.054129105
ACOT4 ,-0.051260839
ACOT6 ,0.052736619
ACOT7 ,0.029694784
ACOT8 ,-0.091238433
ACOT9 ,-0.094721223
ACOX1 ,-0.21741609
ACOX2 ,0.000219102
ACOX3 ,0.077452842
ACOXL ,-0.04246471
ACP1 ,0.209238106
ACP2 ,-0.059237447
ACP3 ,-0.037334559
ACP4 ,0.167517006
ACP5 ,-0.036721366
ACP6 ,-0.025478813
ACP7 ,-0.12985868
ACR ,-0.153917331
ACRBP ,-0.135473293
ACRV1 ,0.269889234
ACSBG1 ,-0.005974238
ACSBG2 ,-0.111983157
ACSF2 ,-0.097724488
ACSF3 ,-0.302090129
ACSL1 ,0.010198247
ACSL3 ,-0.460947482
ACSL4 ,-0.333389146
ACSL5 ,0.025159219
ACSL6 ,0.037083695
ACSM1 ,0.040289591
ACSM2A ,0.10307012
ACSM3 ,0.009777541
ACSM4 ,-0.003139087
ACSM5 ,-0.047762273
ACSM6 ,-0.221398019
ACSS1 ,-0.00502498
ACSS2 ,-0.013118475
ACSS3 ,0.08945807
ACTA1 ,-0.056790909
ACTA2 ,0.196948925
ACTB ,-0.2279029
ACTBL2 ,0.053166291
ACTC1 ,0.046331082
ACTG1 ,-0.268052843
ACTG2 ,0.056526218
ACTL10 ,0.055842645
ACTL6A ,-1.660844271
ACTL6B ,-0.041622754
ACTL7A ,-0.162430491
ACTL7B ,0.117050944
ACTL8 ,-0.18393038
ACTL9 ,-0.063216216
ACTN1 ,-0.070240802
ACTN2 ,0.192628448
ACTN4 ,0.032028061
ACTR10 ,-1.017107038
ACTR1A ,-0.489211958
ACTR1B ,-0.127338073
ACTR2 ,-1.07124909
ACTR3 ,-0.156022532
ACTR3B ,0.037348888
ACTR5 ,-0.127259233
ACTR6 ,-0.441182138
ACTR8 ,-1.265199573
ACTRT1 ,0.196304123
ACTRT2 ,0.071438711
ACTRT3 ,-0.019192071
ACVR1 ,-0.074714834
ACVR1B ,-0.099226658
ACVR1C ,0.213330564
ACVR2A ,-0.032904435
ACVR2B ,-0.002629351
ACVRL1 ,0.069728519
ACY1 ,-0.037964177
ACY3 ,-0.053420636
ACYP1 ,-0.041910987
ACYP2 ,0.108656384
ADA ,-0.004314795
ADA2 ,0.045705809
ADAD1 ,0.120024539
ADAD2 ,-0.295024863
ADAL ,-0.06088846
ADAM10 ,-0.133843099
